t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0,2,0.2,0.8463715,0.1395121,0.8463715,0,-1.0011024,0.0753999,-1.0011024,0,4.0052312,3.1895604,4.0052312,0,-11.937181,-9.5540932,-11.937181,0,19.189548,14.214316,19.189548,0,-16.039296,-11.649525,-16.039296,0,5.4674371,4.0073308,5.4674371,0
0,2,0.4,0.8570045,0.1436696,0.8570045,0,-1.0183085,0.0544018,-1.0183085,0,3.9957306,3.2816127,3.9957306,0,-11.886878,-9.8164232,-11.886878,0,19.152747,14.610963,19.152747,0,-16.04748,-11.942138,-16.04748,0,5.4801806,4.0907797,5.4801806,0
0,2,0.6,0.8839861,0.1504185,0.8839861,0,-1.076527,0.0478401,-1.076527,0,4.0774087,3.257996,4.0774087,0,-11.976171,-9.6921199,-11.976171,0,19.173189,14.370843,19.173189,0,-15.996207,-11.736129,-15.996207,0,5.4501217,4.0258411,5.4501217,0
0,2,0.8,0.9033134,0.1458559,0.9033134,0,-0.9619755,0.2313881,-0.9619755,0,2.85015,1.9882138,2.85015,0,-7.6366897,-5.5546045,-7.6366897,0,11.596116,7.4196069,11.596116,0,-9.4828625,-5.8965053,-9.4828625,0,3.2550163,2.0855563,3.2550163,0
0.01,0.03125,0,0.1965046,0.005178,0.1945594,0,2.9373464,0.175028,2.9082634,0,-5.2582823,2.771868,-5.2062198,0,7.4889153,-4.6457154,7.4147673,0,-6.9282667,4.6780502,-6.8596703,0,3.3673349,-3.276809,3.3339951,0,-0.6677966,0.9840994,-0.6611852,0
0.01,0.03125,0.2,0.2113693,0.0068482,0.2091661,-0.01721,2.4611847,0.2344833,2.4386755,-0.15213,-1.2555276,2.4101824,-1.2400919,-0.17797,-3.9099693,-3.4675608,-3.8967307,1.972687,10.168733,3.2634711,10.151842,-3.83381,-9.4308428,-2.5230489,-9.4330385,3.247263,3.0497093,0.8210179,3.0549558,-1.03884
0.01,0.03125,0.4,0.229132,0.014203,0.230104,-0.015046,2.927635,0.219285,2.610003,-0.151548,-3.07382,2.05648,-0.91762,0.419089,2.739746,-0.94896,-4.62121,-1.207267,2.960466,-1.51323,15.60925,2.029035,-6.97983,1.963637,-17.4518,-1.317982,3.00834,-0.85322,6.333333,0.244916
0.01,0.03125,0.6,0.262335,0.024809,0.254945,-0.08147,3.209256,0.351354,3.020054,0.724065,-3.23974,2.070065,-2.17781,-11.9142,8.520427,-0.52906,4.651717,47.51451,-5.122,0.0968,2.077647,-86.3272,-3.76658,-1.49582,-10.0617,74.65351,2.81565,0.72413,4.888889,-24.5692
0.01,0.03125,0.8,0.383599,0.044869,0.348102,-0.136365,1.703498,0.090589,2.157331,0.825599,12.80512,5.043191,8.317171,-8.096984,-35.2911,-7.60137,-20.4907,10.864975,68.8615,13.74368,45.83438,7.109209,-161.91101,0,0,0,27.1027,6.54186,22,8.900266
0.01,0.0625,0,0.2695332,0.0138667,0.2668644,0,2.1626001,0.1827458,2.1411881,0,-1.6551569,2.5749608,-1.6387693,0,-1.2970208,-3.9044679,-1.2841792,0,4.5604304,3.3556301,4.5152772,0,-4.3163876,-2.1772209,-4.2736515,0,1.4010655,0.6420134,1.3871941,0
0.01,0.0625,0.2,0.2835264,0.0183834,0.2808325,-0.01313,2.061364,0.213506,2.0498352,-0.07567,-0.9368782,2.5392469,-0.9507559,0.085744,-7.3225667,0,0,0,3.1600245,4.3065189,3.1086233,0.529942,-8.6488882,0,0,0,0.5899882,1.0756474,0.5903314,0.274003
0.01,0.0625,0.4,0.320208,0.028406,0.312904,-0.016949,2.506753,0.270584,2.436595,0.070396,-2.0649,1.947826,-1.66009,-0.488687,2.227828,-1.05799,0.567318,0.851098,-0.86236,-0.95048,2.607581,-0.559465,-0.94327,1.1065,-4.314,0.290438,0.49566,-0.45442,1.714286,-0.144092
0.01,0.0625,0.6,0.377521,0.049618,0.383388,-0.055381,3.240662,0.334833,2.749036,0.289029,-4.82459,2.524177,-0.91621,-2.924016,14.62968,-2.73218,0.533612,7.31789,-20.4559,3.109009,4.07113,-7.688465,12.07537,-3.42036,-8.21997,3.787441,-2.70569,1.25094,3.714286,-0.730212
0.01,0.0625,0.8,0.538092,0.076044,0.503997,-0.122024,2.719578,0.410478,3.305078,1.482424,4.087174,3.157604,-0.94433,-11.67713,-6.30083,-2.28964,10.76627,27.52006,7.147338,1.020733,-20.9578,-23.121698,-10.8276,-2.39745,11.56826,2.760193,5.61527,1.35655,-1.29032,3.12883
0.01,0.125,0,0.4065238,0.032027,0.402499,0,0.7772483,0.1825342,0.7695525,0,3.8861644,2.2670449,3.8476871,0,-12.573943,-2.7076615,-12.449449,0,16.760207,1.2088194,16.594264,0,-11.014593,-0.377743,-10.905538,0,2.8706957,0.0763155,2.8422733,0
0.01,0.125,0.2,0.4133004,0.0478287,0.4085744,-0.021902,1.1321686,0.0131254,1.1502654,0.23589,1.8045358,3.9210159,1.6207996,-1.055745,-6.4250407,-9.0824041,-5.8595868,1.283669,8.1265233,12.609044,7.2756359,0.400401,-21.0071508,0,0,0,1.3216183,3.0270205,1.1438168,0.607639
0.01,0.125,0.4,0.488463,0.072189,0.480412,-0.021665,1.573083,0.419684,1.280874,0.23626,0.679425,1.572558,2.698657,-1.055002,-2.69427,-0.5246,-9.63914,1.267457,2.46889,-1.882,14.03963,0.458687,-1.09677,1.618109,-10.2607,-1.521358,0.12794,-0.43023,2.888889,0.64155
0.01,0.125,0.6,0.632565,0.117102,0.608441,-0.050507,1.961238,0.457833,1.556057,0.469455,0.212464,2.116802,2.731598,-2.793371,1.067366,-1.88948,-7.6163,5.387432,-4.85209,0.575957,9.397182,-3.346764,4.242828,-0.8442,-6.76923,-0.422778,-1.21876,0.48755,2,0.760112
0.01,0.125,0.8,0.904467,0.194705,0.821735,-0.109309,1.660291,0.409353,1.602368,1.914603,5.429361,3.307649,4.733987,-15.38977,-7.87417,-3.22508,-8.05462,49.115082,-1.31829,-0.49734,1.406869,-74.961586,5.438647,1.292511,2.851226,55.324734,-19.104377,0,0,0
0.01,0.25,0,0.6152816,0.0703566,0.6091901,0,-0.3348694,0.2828152,-0.3315535,0,6.295562,1.4036169,6.2332297,0,-15.590618,-0.6511596,-15.436255,0,19.299508,-1.2076596,19.108424,0,-12.488107,1.0318656,-12.364462,0,3.3010035,-0.2423741,3.2683198,0
